KabKec,DPT2diff_abs,DPT2,DPT2diff_pct
Jakarta Barat,29447,1681498,1.75
Kecamatan Cengkareng,7167,349548,2.05
Kecamatan Grogol Petamburan,2310,166892,1.38
Kecamatan Kali Deres,5974,284007,2.10
Kecamatan Kebon Jeruk,3930,240281,1.64
Kecamatan Kembangan,4240,191879,2.21
Kecamatan Palmerah,1047,162099,0.65
Kecamatan Taman Sari,1441,95474,1.51
Kecamatan Tambora,3338,191318,1.74
Jakarta Pusat,10363,757515,1.37
Kecamatan Cempaka Putih,1492,66880,2.23
Kecamatan Gambir,1086,68820,1.58
Kecamatan Johar Baru,560,92746,0.60
Kecamatan Kemayoran,3524,182056,1.94
Kecamatan Menteng,-33,64290,-0.05
Kecamatan Sawah Besar,1129,76796,1.47
Kecamatan Senen,-360,88898,-0.40
Kecamatan Tanah Abang,2965,117029,2.53
Jakarta Selatan,13221,1606921,0.82
Kecamatan Cilandak,2387,156819,1.52
Kecamatan Jagakarsa,2487,227261,1.09
Kecamatan Kebayoran Baru,-381,114883,-0.33
Kecamatan Kebayoran Lama,1635,230591,0.71
Kecamatan Mampang Prapatan,-309,107198,-0.29
Kecamatan Pancoran,2446,119069,2.05
Kecamatan Pasar Minggu,-108,223836,-0.05
Kecamatan Pesanggrahan,1634,168673,0.97
Kecamatan Setia Budi,806,86587,0.93
Kecamatan Tebet,2624,172004,1.53
Jakarta Timur,18760,2025157,0.93
Kecamatan Cakung,3862,341760,1.13
Kecamatan Cipayung,1311,172854,0.76
Kecamatan Ciracas,1130,197297,0.57
Kecamatan Duren Sawit,3876,286592,1.35
Kecamatan Jatinegara,-987,222383,-0.44
Kecamatan Kramat Jati,2228,199314,1.12
Kecamatan Makasar,1458,136698,1.07
Kecamatan Matraman,664,128896,0.52
Kecamatan Pasar Rebo,2811,136509,2.06
Kecamatan Pulo Gadung,2407,202854,1.19
Jakarta Utara,37620,1129494,3.33
Kecamatan Cilincing,8035,252460,3.18
Kecamatan Kelapa Gading,3842,96072,4.00
Kecamatan Koja,4951,206839,2.39
Kecamatan Pademangan,2150,109987,1.95
Kecamatan Penjaringan,8691,205974,4.22
Kecamatan Tanjung Priok,9951,258162,3.85
