Kelurahan,DPT2,DPT1,DPT2_pemula,DPT2_numTPS,DPT2diff_abs,DPT2diff_pct
ANCOL,19705,19362,51,38,343,1.77
ANGKE,25144,24054,79,45,1090,4.53
BALEKAMBANG,23120,22797,75,37,323,1.42
BALIMESTER,8340,8282,11,15,58,0.70
BAMBU APUS,20331,20080,69,38,251,1.25
BANGKA,17570,17510,67,36,60,0.34
BARU,15573,15463,54,25,110,0.71
BATU AMPAR,36906,36200,126,60,706,1.95
BENDUNGAN HILIR,17763,17333,62,30,430,2.48
BIDARA CINA,32041,32325,13,61,-284,-0.88
BINTARO,42454,42386,141,72,68,0.16
BUKIT DURI,30428,30113,108,56,315,1.05
BUNGUR,15807,15957,53,28,-150,-0.94
CAKUNG BARAT,43513,44333,109,91,-820,-1.85
CAKUNG TIMUR,45147,44432,136,100,715,1.61
CAWANG,26256,25711,49,44,545,2.12
CEGER,14886,14834,49,31,52,0.35
CEMPAKA BARU,26622,26017,118,44,605,2.33
CEMPAKA PUTIH BARAT,28649,27915,131,48,734,2.63
CEMPAKA PUTIH TIMUR,19935,19443,85,30,492,2.53
CENGKARENG BARAT,50889,49111,137,83,1778,3.62
CENGKARENG TIMUR,58691,56982,203,103,1709,3.00
CIBUBUR,52165,52424,156,84,-259,-0.49
CIDENG,13940,13808,43,24,132,0.96
CIGANJUR,30606,30019,86,62,587,1.96
CIJANTUNG,30830,29824,92,55,1006,3.37
CIKINI,7505,7472,34,12,33,0.44
CIKOKO,9416,9268,16,18,148,1.60
CILANDAK BARAT,45276,44678,123,81,598,1.34
CILANDAK TIMUR,19026,19246,54,44,-220,-1.14
CILANGKAP,19660,19347,59,29,313,1.62
CILILITAN,32081,31754,81,50,327,1.03
CILINCING,34063,33966,86,74,97,0.29
CIPAYUNG,19110,18864,53,30,246,1.30
CIPEDAK,28028,27936,18,57,92,0.33
CIPETE SELATAN,24129,23952,51,39,177,0.74
CIPETE UTARA,29252,29503,95,58,-251,-0.85
CIPINANG,32243,32312,115,60,-69,-0.21
CIPINANG BESAR SELATAN,27480,27397,5,57,83,0.30
CIPINANG BESAR UTARA,41905,42285,9,76,-380,-0.90
CIPINANG CEMPEDAK,28423,28745,9,58,-322,-1.12
CIPINANG MELAYU,34106,33593,96,69,513,1.53
CIPINANG MUARA,45352,45225,34,79,127,0.28
CIPULIR,33196,32449,95,62,747,2.30
CIRACAS,49141,48290,169,85,851,1.76
DUKUH,19002,18762,53,30,240,1.28
DUREN SAWIT,50167,49891,162,88,276,0.55
DUREN TIGA,24151,23551,43,45,600,2.55
DURI KEPA,50681,49485,153,89,1196,2.42
DURI KOSAMBI,61504,60746,202,100,758,1.25
DURI PULO,16447,16048,70,28,399,2.49
DURI SELATAN,12644,12557,25,23,87,0.69
DURI UTARA,16382,16135,43,28,247,1.53
GALUR,15204,15109,65,24,95,0.63
GAMBIR,2269,2297,8,4,-28,-1.22
GANDARIA SELATAN,18829,18427,58,34,402,2.18
GANDARIA UTARA,34861,34199,113,62,662,1.94
GEDONG,26938,26146,75,45,792,3.03
GELORA,2742,2672,8,6,70,2.62
GLODOK,7446,7381,17,13,65,0.88
GONDANGDIA,3816,3808,17,6,8,0.21
GROGOL,15068,14918,28,30,150,1.01
GROGOL SELATAN,38979,39880,119,71,-901,-2.26
GROGOL UTARA,36568,36188,111,67,380,1.05
GUNTUR,3761,3681,13,8,80,2.17
GUNUNG,8307,8355,23,18,-48,-0.57
GUNUNG SAHARI SELATAN,15918,15809,69,28,109,0.69
GUNUNG SAHARI UTARA,14828,14665,44,25,163,1.11
HALIM PERDANA KUSUMA,17306,17238,61,36,68,0.39
HARAPAN MULIA,18749,18259,84,29,490,2.68
JAGAKARSA,48663,47805,149,89,858,1.79
JATI,27253,27229,74,50,24,0.09
JATI PADANG,31430,31757,88,57,-327,-1.03
JATINEGARA,66500,66381,184,131,119,0.18
JATINEGARA KAUM,18553,18200,51,35,353,1.94
JATIPULO,25106,24929,55,44,177,0.71
JELAMBAR,25391,25063,48,46,328,1.31
JELAMBAR BARU,31587,30707,65,57,880,2.87
JEMBATAN BESI,23955,23092,57,44,863,3.74
JEMBATAN LIMA,17759,17473,57,32,286,1.64
JOGLO,32661,32442,83,59,219,0.68
JOHAR BARU,29958,29579,142,46,379,1.28
KALI ANYAR,21946,22163,60,36,-217,-0.98
KALIBARU,51679,50385,198,96,1294,2.57
KALIBATA,34902,34216,110,63,686,2.00
KALIDERES,56231,54709,220,95,1522,2.78
KALISARI,31362,30883,121,50,479,1.55
KAMAL,42416,41653,152,74,763,1.83
KAMAL MUARA,9301,8891,34,18,410,4.61
KAMPUNG BALI,10120,10036,52,20,84,0.84
KAMPUNG MELAYU,21017,21327,47,35,-310,-1.45
KAMPUNG RAWA,17374,17464,81,28,-90,-0.52
KAPUK,101145,99588,342,178,1557,1.56
KAPUK MUARA,27832,26745,84,52,1087,4.06
KARANG ANYAR,21982,21621,76,35,361,1.67
KARET,9265,9213,12,19,52,0.56
KARET KUNINGAN,14845,14942,26,24,-97,-0.65
KARET SEMANGGI,2563,2469,4,5,94,3.81
KARET TENGSIN,15673,15274,58,28,399,2.61
KARTINI,19130,18725,75,30,405,2.16
KAYU MANIS,21150,21129,73,37,21,0.10
KAYU PUTIH,32978,31619,128,55,1359,4.30
KEAGUNGAN,14831,14388,43,25,443,3.08
