,jmlDifabel1,jmlDifabel2,jmlDifabel3,jmlDifabel4,jmlDifabel5,jmlPemilihKosong,jmlPemilihLaki,jmlPemilihPemulaLaki,jmlPemilihPemulaPerempuan,jmlPemilihPerempuan,jmlTps,namaKabKota,namaKecamatan,namaKelurahan,namaPropinsi,persenDifabel,persenPemilihPemula,totalDifabel,totalPemilih,totalPemilihPemula
0,3,1,3,262,143,0,25399,74,63,25490,83,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,DKI JAKARTA,0.81,0.27,412,50889,137
1,22,8,11,6,17,0,29532,95,108,29159,103,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,DKI JAKARTA,0.11,0.35,64,58691,203
2,9,1,2,3,2,0,30945,100,102,30559,100,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,DKI JAKARTA,0.03,0.33,17,61504,202
3,19,11,20,23,22,0,51727,160,182,49418,178,JAKARTA BARAT,CENGKARENG,KAPUK,DKI JAKARTA,0.09,0.34,95,101145,342
4,0,0,1,0,1,0,14155,35,32,13254,47,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,DKI JAKARTA,0.01,0.24,2,27409,67
5,7,0,2,0,0,0,25340,69,53,24570,89,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,DKI JAKARTA,0.02,0.24,9,49910,122
6,11,1,3,4,7,0,7512,12,16,7556,30,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,DKI JAKARTA,0.17,0.19,26,15068,28
7,1,1,5,2,3,0,12464,25,23,12927,46,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,DKI JAKARTA,0.05,0.19,12,25391,48
8,20,4,6,4,12,0,15757,34,31,15830,57,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,DKI JAKARTA,0.15,0.21,46,31587,65
9,7,2,1,2,9,0,10546,16,22,10946,38,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,DKI JAKARTA,0.1,0.18,21,21492,38
10,2,3,1,1,1,0,7045,14,18,7679,27,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,DKI JAKARTA,0.05,0.22,8,14724,32
11,12,0,6,8,13,0,13063,45,31,13107,46,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,DKI JAKARTA,0.15,0.29,39,26170,76
12,24,4,6,9,7,0,16647,42,47,15813,61,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,DKI JAKARTA,0.15,0.27,50,32460,89
13,148,4,2,9,6,0,28230,105,115,28001,95,JAKARTA BARAT,KALIDERES,KALIDERES,DKI JAKARTA,0.3,0.39,169,56231,220
14,2,1,0,0,0,0,21796,73,79,20620,74,JAKARTA BARAT,KALIDERES,KAMAL,DKI JAKARTA,0.01,0.36,3,42416,152
15,10,7,7,39,16,0,29884,133,86,29728,98,JAKARTA BARAT,KALIDERES,PEGADUNGAN,DKI JAKARTA,0.13,0.37,79,59612,219
16,3,2,6,3,3,0,28813,85,85,27586,93,JAKARTA BARAT,KALIDERES,SEMANAN,DKI JAKARTA,0.03,0.3,17,56399,170
17,8,8,6,7,1,0,35189,109,99,34160,116,JAKARTA BARAT,KALIDERES,TEGAL ALUR,DKI JAKARTA,0.04,0.3,30,69349,208
18,0,0,1,3,2,0,25199,81,72,25482,89,JAKARTA BARAT,KEBON JERUK,DURI KEPA,DKI JAKARTA,0.01,0.3,6,50681,153
19,0,10,3,2,2,0,21283,58,58,21618,78,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,DKI JAKARTA,0.04,0.27,17,42901,116
20,0,3,2,1,7,0,13263,37,23,13237,47,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,DKI JAKARTA,0.05,0.23,13,26500,60
21,14,2,4,1,1,0,19159,40,48,19007,63,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,DKI JAKARTA,0.06,0.23,22,38166,88
22,2,1,1,0,12,0,9323,36,28,9359,31,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,DKI JAKARTA,0.09,0.34,16,18682,64
23,0,5,1,0,4,0,15844,49,44,15469,54,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,DKI JAKARTA,0.03,0.3,10,31313,93
24,2,1,1,2,1,0,16102,47,44,15936,55,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,DKI JAKARTA,0.02,0.28,7,32038,91
25,6,7,0,8,6,0,16349,45,38,16312,59,JAKARTA BARAT,KEMBANGAN,JOGLO,DKI JAKARTA,0.08,0.25,27,32661,83
26,3,0,0,0,4,0,10958,20,22,11156,42,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,DKI JAKARTA,0.03,0.19,7,22114,42
27,1,3,11,2,0,0,21222,72,66,20565,79,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,DKI JAKARTA,0.04,0.33,17,41787,138
28,3,7,3,4,3,0,12414,36,42,12495,48,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,DKI JAKARTA,0.08,0.31,20,24909,78
29,3,6,5,6,4,0,17123,48,52,17192,61,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,DKI JAKARTA,0.07,0.29,24,34315,100
30,4,4,3,3,7,0,18145,61,62,17948,65,JAKARTA BARAT,KEMBANGAN,SRENGSENG,DKI JAKARTA,0.06,0.34,21,36093,123
